i,current,temp,ma3I,ma3T,currentSlope,tempSlope,varI,power,tempAcc,target,targetLabel
"0","0","29.81955","0","29.81946","0","0.000146","0","0","0","0","ok"
"1","0","29.83585","0","29.83496","0","0.000752","0","0","0","0","ok"
"2","0","29.87377","0","29.8737","0","0.000116","0","0","0","0","ok"
"3","0","29.9016","0","29.90103","0","0.00051","0","0","0","0","ok"
"4","0","29.92653","0","29.92605","0","0.000485","0","0","0","0","ok"
"5","0","29.94845","0","29.94827","0","0.000241","0","0","0","0","ok"
"6","0","29.95258","0","29.95277","0","-0.000242","0","0","0","0","ok"
"7","0","29.9375","0","29.9375","0","-3.315201e-7","0","0","0","0","ok"
"8","0","29.91323","0","29.91376","0","-0.000587","0","0","0","0","ok"
"9","0","29.88671","0","29.8872","0","-0.000367","0","0","0","0","ok"
"10","0","29.8761","0","29.87613","0","-0.000039","0","0","0","0","ok"
"11","0.008055","29.89686","0.007196","29.88305","0.000824","0.008301","0.000097","1.852638","0.002382","0","ok"
"12","0.051384","37.6175","0.051377","37.41373","0.000013","0.195296","0.000214","11.81828","-0.000331","0","ok"
"13","0.040284","45.79385","0.04115","45.71858","-0.000852","0.078219","0.000347","9.265269","-0.004139","0","ok"
"14","0","42.23028","0","42.37722","0","-0.140039","0.000025","0","0.002088","0","ok"
"15","0","36.68052","0","36.73542","0","-0.052963","0","0","0","0","ok"
"16","0.076249","39.04023","0.07483","38.85043","0.001355","0.172499","0.000294","17.5372","0.004521","0","ok"
"17","0.023851","49.86135","0.02527","49.84885","-0.001238","0.021246","0.000291","5.485715","-0.007399","0","ok"
"18","0","43.55149","0","43.66215","0","-0.107123","0","0","0.002878","0","ok"
"19","0","38.8243","0","38.88677","0","-0.060023","0","0","0","0","ok"
"20","0.080544","38.30067","0.078583","38.17449","0.001878","0.107348","0.000538","18.52518","0.005211","0","ok"
"21","0.021366","50.6964","0.023328","50.63472","-0.001708","0.063981","0.000577","4.914202","-0.008468","1","warn"
"22","0","44.19091","0","44.31062","0","-0.113986","0","0","0.003256","0","ok"
"23","0","38.99103","0","39.05808","0","-0.064643","0","0","0","0","ok"
"24","0","35.9788","0","36.01316","0","-0.033503","0","0","0","0","ok"
"25","0","35.28656","0","35.24912","0","0.032383","0","0","0.001707","0","ok"
"26","0.0029","36.28008","0.001976","36.324","0.000552","-0.038106","0.00002","0.666971","-0.001707","0","ok"
"27","0.009087","35.00711","0.010011","35.016","-0.000555","-0.0097","0.000237","2.089993","0","0","ok"
"28","0","36.16613","0","36.10749","0","0.056319","0","0","0","0","ok"
"29","0","36.24859","0","36.29588","0","-0.044186","0","0","0","0","ok"
"30","0.051362","34.76914","0.050047","34.73596","0.001244","0.027084","0.000255","11.81321","0.002139","0","ok"
"31","0.078781","40.12972","0.078773","40.02163","0.000016","0.100395","0.000006716362","18.11973","0.000038","0","ok"
